Number of teeth,High frequency modulation (Hz),Mean concentration (VMR),Standard deviation (VMR)
13,1600000000.0,0.010094181565498479,0.0004477221038227116
13,1700000000.0,0.010355033849901472,0.00040692575439270774
13,1800000000.0,0.010223429851371937,0.0005222413875328487
13,1900000000.0,0.009686589162880283,0.00043249593327681626
14,300000000.0,0.007565486638346342,0.0004734429632121356
14,400000000.0,0.008109708963868607,0.0002948182467236719
14,500000000.0,0.008740371962405952,0.0005452679528775789
14,600000000.0,0.008880296933695008,0.0002707157248868578
14,700000000.0,0.009288133578541805,0.00046943315952038437
14,800000000.0,0.009955932017354768,0.00042498045883056153
14,900000000.0,0.009535543004913941,0.00044677706724501206
14,1000000000.0,0.00995859573490487,0.0002497548529352856
14,1100000000.0,0.010240324360651223,0.00067712463947649
14,1200000000.0,0.01015834678454011,0.000447343968311916
14,1300000000.0,0.010015101790749924,0.0005354732884237794
14,1400000000.0,0.01071625903413205,0.0004765787096934539
14,1500000000.0,0.009994764267394993,0.00045028658959302007
14,1600000000.0,0.01006553826079225,0.0003493911389212859
14,1700000000.0,0.010216135376057891,0.000529735864983254
15,300000000.0,0.007851284394737966,0.0005087978857717526
15,400000000.0,0.008775703675741663,0.0005072133277964314
15,500000000.0,0.00886724359504907,0.0003731644227492165
15,600000000.0,0.009313482734824258,0.0003388846326241272
15,700000000.0,0.009746576000368623,0.0004923509012536394
15,800000000.0,0.0096412222992728,0.0004365365965525219
15,900000000.0,0.009801058730493115,0.0003369610090079929
15,1000000000.0,0.009905252985145298,0.0004074257651664245
15,1100000000.0,0.010046491242482813,0.0006231282472740455
15,1200000000.0,0.010116215852854746,0.0005542688083942485
15,1300000000.0,0.010344220250232551,0.0005117396027656047
15,1400000000.0,0.010322836949575162,0.0005526781780575558
15,1500000000.0,0.010318822978246654,0.000548969930254508
15,1600000000.0,0.009987716198345787,0.0004527591254805905
16,300000000.0,0.0077203230264614965,0.000648295028933285
16,400000000.0,0.00865756809035281,0.00044869598761324746
16,500000000.0,0.008935630251242546,0.00038601680893081603
16,600000000.0,0.009288903017169989,0.0003647389675879861
16,700000000.0,0.009561943850793408,0.0003629542182817372
16,800000000.0,0.009630263427286165,0.0002926201212388347
16,900000000.0,0.009623260609241869,0.00037018270119287876
16,1000000000.0,0.01003923007677106,0.0002635343656110889
16,1100000000.0,0.010070091847504719,0.0004443525592879451
16,1200000000.0,0.010080371178585578,0.000550024683475355
16,1300000000.0,0.010452311710802525,0.0004966824455288368
16,1400000000.0,0.010161620306840622,0.0007539235789438087
16,1500000000.0,0.010267656055604426,0.0003530790390450843
17,300000000.0,0.008027191022602251,0.00044119239997384324
17,400000000.0,0.008729901219438962,0.0005291694018984678
17,500000000.0,0.009296885647434885,0.0005698960410734664
17,600000000.0,0.009846659818380041,0.00044244169581595527
17,700000000.0,0.009968348449970514,0.0003889368640903928
17,800000000.0,0.009642620833427444,0.00040680302114586475
17,900000000.0,0.009944477470620966,0.0003831882526776543
17,1000000000.0,0.010088184705392304,0.0005087634544313933
17,1100000000.0,0.010202194267896593,0.0006352074000665694
17,1200000000.0,0.009941704007605242,0.0004031993914633536
17,1300000000.0,0.010259280291398793,0.0006177539852645403
17,1400000000.0,0.010178075851638558,0.0005582684943077464
18,300000000.0,0.008280342332571532,0.0003314115598851704
18,400000000.0,0.008777204503984035,0.00048320457557155764
18,500000000.0,0.009279921535240519,0.0002990193073580427
18,600000000.0,0.009560621994042371,0.00033704263716571067
18,700000000.0,0.009790872893478762,0.00022781689747804985
18,800000000.0,0.009929821617872992,0.000392254781427894
18,900000000.0,0.010147982436255497,0.00039364731373973515
18,1000000000.0,0.009978716395814932,0.0003289868278607852
18,1100000000.0,0.010417435586628655,0.0006219864915272183
18,1200000000.0,0.010284292536905389,0.0005516587223271742
18,1300000000.0,0.010419347581212102,0.0006981551612973658
19,300000000.0,0.008714657901399924,0.0002117039084344443
19,400000000.0,0.008969578387651986,0.00032322966080313776
19,500000000.0,0.009514759401725447,0.0004213672910548612
19,600000000.0,0.009829342572742747,0.00034839935640919534
19,700000000.0,0.010143513357521493,0.0003646012972204771
19,800000000.0,0.010150141522749933,0.00030866633618143423
19,900000000.0,0.010116265141287379,0.0002194296619856533
19,1000000000.0,0.009851327343578313,0.0005061595942136482
19,1100000000.0,0.010499633855473476,0.00041688333603945717
19,1200000000.0,0.010100943581522564,0.0004357282125123332
20,300000000.0,0.00861814478474538,0.000378680417556444
20,400000000.0,0.009348175401745682,0.0002737144093639053
20,500000000.0,0.009376488301968015,0.00027699919799937557
20,600000000.0,0.00955238796992695,0.0004970468522048634
20,700000000.0,0.009876652828171305,0.00042183102123109653
20,800000000.0,0.010130948275103534,0.000415291581300212
20,900000000.0,0.010051290185572895,0.0003506305481768393
20,1000000000.0,0.01013880915304698,0.0004683203425268426
20,1100000000.0,0.010742239976934864,0.0002796918078515184
20,1200000000.0,0.010354225491077168,0.00036277611419786735
21,200000000.0,0.007992528214063346,0.00045380490825478294
21,300000000.0,0.008736394814254218,0.00031994600254106614
21,400000000.0,0.0094600947574386,0.0003403196471981826
21,500000000.0,0.009445011363969118,0.00035628132411274604
21,600000000.0,0.010166803533839206,0.0004519615085486647
21,700000000.0,0.01004656464329637,0.00035064969351846214
21,800000000.0,0.010200520337050973,0.0005307030368318724
21,900000000.0,0.010290443954761605,0.0004629519798630581
21,1000000000.0,0.010247204911137201,0.0004881858667945034
21,1100000000.0,0.010089578073475266,0.0006029242710146942
22,200000000.0,0.00758718193107101,0.000639208966599966
22,300000000.0,0.00886002858407906,0.00026801264502231354
22,400000000.0,0.009207345098159101,0.0005606436864822395
22,500000000.0,0.009786227796342034,0.00037724731465660756
22,600000000.0,0.009626635888798548,0.00043364209464283863
22,700000000.0,0.01006982552427857,0.00036726358720835036
22,800000000.0,0.010201797039909177,0.0004533410507829364
22,900000000.0,0.010138611700371895,0.0005437580464679552
22,1000000000.0,0.010592218784715649,0.0005886208515974001
23,200000000.0,0.00804968469710966,0.0004516453836957265
23,300000000.0,0.008852817645359733,0.00020918737607671879
23,400000000.0,0.00953244462581485,0.00030926372789469097
23,500000000.0,0.009873273788298914,0.0003354123170999482
23,600000000.0,0.009682471959263608,0.0004451491488267006
23,700000000.0,0.010227266440496485,0.0003700493461661116
23,800000000.0,0.010173034769342507,0.00042992765231835366
23,900000000.0,0.010196905675367548,0.00033485594332364804
